image_idx,trial,target_label,target_location,fixations_count,found
1,1,cat,"(33, 157)",1,True
2,2,cattle,"(112, 203)",1,True
3,3,horse,"(112, 203)",2,True
4,4,kite,"(191, 67)",2,True
5,5,sheep,"(33, 157)",5,True
6,6,teddybear,"(112, 21)",3,True
7,7,cat,"(33, 67)",3,True
8,8,cattle,"(33, 157)",1,True
9,9,horse,"(112, 21)",3,True
10,10,kite,"(191, 67)",1,True
11,11,sheep,"(191, 67)",1,True
12,12,teddybear,"(112, 203)",5,True
13,13,cat,"(33, 157)",1,True
14,14,cattle,"(112, 21)",6,True
15,15,horse,"(191, 157)",4,True
16,16,kite,"(191, 67)",5,True
17,17,sheep,"(33, 67)",3,True
18,18,teddybear,"(33, 157)",2,True
19,19,cat,"(191, 157)",2,True
20,20,cattle,"(191, 157)",4,True
21,21,horse,"(33, 67)",4,True
22,22,kite,"(112, 21)",4,True
23,23,sheep,"(112, 21)",4,True
24,24,teddybear,"(33, 157)",3,True
25,25,cat,"(33, 157)",6,True
26,26,cattle,"(112, 203)",5,True
27,27,horse,"(112, 21)",5,True
28,28,kite,"(112, 203)",5,True
29,29,sheep,"(33, 157)",1,True
30,30,teddybear,"(191, 67)",2,True
31,31,cat,"(191, 67)",2,True
32,32,cattle,"(191, 157)",2,True
33,33,horse,"(191, 67)",5,True
34,34,kite,"(112, 203)",1,True
35,35,sheep,"(33, 67)",2,True
36,36,teddybear,"(191, 67)",4,True
37,37,cat,"(112, 203)",5,True
38,38,cattle,"(112, 21)",2,True
39,39,horse,"(112, 203)",2,True
40,40,kite,"(33, 157)",5,True
41,41,sheep,"(33, 157)",5,True
42,42,teddybear,"(33, 157)",4,True
43,43,cat,"(112, 203)",3,True
44,44,cattle,"(112, 203)",4,True
45,45,horse,"(33, 157)",2,True
46,46,kite,"(112, 203)",3,True
47,47,sheep,"(191, 157)",4,True
48,48,teddybear,"(33, 67)",4,True
49,49,cat,"(33, 157)",1,True
50,50,cattle,"(191, 67)",1,True
51,51,horse,"(191, 157)",3,True
52,52,kite,"(33, 157)",2,True
53,53,sheep,"(191, 67)",1,True
54,54,teddybear,"(112, 21)",3,True
55,55,cat,"(33, 157)",1,True
56,56,cattle,"(33, 157)",4,True
57,57,horse,"(112, 203)",4,True
58,58,kite,"(191, 67)",5,True
59,59,sheep,"(191, 67)",2,True
60,60,teddybear,"(191, 157)",5,True
61,61,cat,"(112, 203)",4,True
62,62,cattle,"(33, 67)",4,True
63,63,horse,"(112, 203)",6,True
64,64,kite,"(112, 21)",4,True
65,65,sheep,"(191, 157)",1,True
66,66,teddybear,"(191, 67)",5,True
67,67,cat,"(112, 203)",5,True
68,68,cattle,"(33, 157)",6,True
69,69,horse,"(112, 203)",3,True
70,70,kite,"(33, 67)",2,True
71,71,sheep,"(33, 157)",5,True
72,72,teddybear,"(112, 203)",6,True
73,73,cat,"(33, 67)",3,True
74,74,cattle,"(191, 67)",3,True
75,75,horse,"(191, 67)",5,True
76,76,kite,"(33, 67)",1,True
77,77,sheep,"(191, 67)",3,True
78,78,teddybear,"(191, 157)",1,True
79,79,cat,"(191, 157)",5,True
80,80,cattle,"(33, 67)",4,True
81,81,horse,"(191, 67)",3,True
82,82,kite,"(191, 157)",1,True
83,83,sheep,"(33, 67)",2,True
84,84,teddybear,"(191, 157)",1,True
85,85,cat,"(191, 157)",2,True
86,86,cattle,"(112, 203)",3,True
87,87,horse,"(33, 67)",1,True
88,88,kite,"(112, 203)",5,True
89,89,sheep,"(112, 203)",1,True
90,90,teddybear,"(112, 203)",1,True
91,91,cat,"(191, 157)",3,True
92,92,cattle,"(33, 67)",2,True
93,93,horse,"(112, 203)",5,True
94,94,kite,"(191, 67)",5,True
95,95,sheep,"(112, 21)",3,True
96,96,teddybear,"(191, 157)",2,True
97,97,cat,"(33, 67)",6,True
98,98,cattle,"(33, 67)",6,True
99,99,horse,"(191, 67)",6,True
100,100,kite,"(33, 157)",4,True
101,101,sheep,"(112, 21)",1,True
102,102,teddybear,"(112, 21)",6,True
103,103,cat,"(191, 157)",2,True
104,104,cattle,"(33, 67)",3,True
105,105,horse,"(112, 203)",2,True
106,106,kite,"(112, 21)",5,True
107,107,sheep,"(191, 157)",1,True
108,108,teddybear,"(191, 67)",4,True
